_id/$oid,_id_thi_sinh/$oid,ten_nganh,__v
6166f07643f8917a04cd525d,6166f07643f8917a04cd525c,Quản trị kinh doanh,0
6166f0b443f8917a04cd5261,6166f0b343f8917a04cd5260,Công nghệ thực phẩm,0
6166f0e943f8917a04cd5265,6166f0e943f8917a04cd5264,Tiếng Anh,0
6166f1a243f8917a04cd5269,6166f1a243f8917a04cd5268,Tài chính - Ngân hàng,0
6166f1da43f8917a04cd526d,6166f1da43f8917a04cd526c,Tài chính - Ngân hàng,0
6166f20f43f8917a04cd5271,6166f20f43f8917a04cd5270,Ngôn ngữ Anh,0
6166f27d43f8917a04cd5276,6166f27d43f8917a04cd5275,Công nghệ kỹ thuật xây dựng,0
6166f2f843f8917a04cd527a,6166f2f843f8917a04cd5279,Dịch vụ pháp lý,0
6166f33443f8917a04cd527e,6166f33443f8917a04cd527d,Dịch vụ pháp lý,0
6166f38043f8917a04cd5282,6166f38043f8917a04cd5281,Kế toán,0
6166f3c143f8917a04cd5286,6166f3c143f8917a04cd5285,Ngôn ngữ Anh,0
6166f3fb43f8917a04cd528a,6166f3fb43f8917a04cd5289,Quản trị dịch vụ du lịch và lữ hành,0
6166f43843f8917a04cd528e,6166f43843f8917a04cd528d,Sư phạm Toán học,0
6166f47743f8917a04cd5292,6166f47743f8917a04cd5291,Sư phạm Toán học,0
6166f4c543f8917a04cd5296,6166f4c543f8917a04cd5295,Quản trị kinh doanh,0
6166f4ff43f8917a04cd529a,6166f4ff43f8917a04cd5299,Kế toán,0
6166f56943f8917a04cd529e,6166f56943f8917a04cd529d,Bảo vệ thực vật,0
6166f82b43f8917a04cd52a2,6166f82b43f8917a04cd52a1,Quản trị kinh doanh,0
6166f89043f8917a04cd52a6,6166f89043f8917a04cd52a5,Kế toán,0
6166f8eb43f8917a04cd52aa,6166f8eb43f8917a04cd52a9,Kế toán,0
6166f93743f8917a04cd52ae,6166f93743f8917a04cd52ad,Công nghệ thông tin,0
6166f98743f8917a04cd52b2,6166f98743f8917a04cd52b1,Tiếng Anh,0
6166f9c443f8917a04cd52b6,6166f9c443f8917a04cd52b5,Tiếng Anh,0
6166f9fd43f8917a04cd52ba,6166f9fd43f8917a04cd52b9,Quản trị kinh doanh,0
6166fa3643f8917a04cd52be,6166fa3643f8917a04cd52bd,Ngôn ngữ Anh,0
6166fa7f43f8917a04cd52c2,6166fa7f43f8917a04cd52c1,Kinh doanh thương mại,0
6166face43f8917a04cd52c6,6166face43f8917a04cd52c5,Quản trị văn phòng,0
6166fb3343f8917a04cd52ca,6166fb3343f8917a04cd52c9,Sư phạm Toán học,0
6166fb6c43f8917a04cd52ce,6166fb6c43f8917a04cd52cd,Dịch vụ pháp lý,0
